Z,a,b,c,d,e,f,g,h,i
2,-1.086e-07,1.068e-10,1.871e-05,17.22,1.113e-05,14.88,0.952,-0.8818,2.393
3,2.997e-05,1.687e-08,-0.001976,10.24,0.0001058,-0.7653,0.8487,-1.244,3.414
4,4.988e-05,2.844e-08,-0.001998,6.092,6.669e-05,-1.009,0.8709,-1.423,-2.134
5,7.62e-05,3.072e-08,-0.002104,4.125,6.329e-05,-1.289,0.7189,-2.24,-0.9738
6,0.0001062,2.468e-08,-0.002182,3.037,5.568e-05,-1.74,0.7762,-1.903,-0.6206
7,0.0001401,8.89e-09,-0.002264,2.388,0.00234,12.94,1.0,-0.3328,9.933
8,0.0001742,-1.178e-08,-0.002299,1.951,0.002662,10.42,1.0,-0.327,10.13
9,0.0002128,-4.182e-08,-0.002432,1.723,0.0005917,1.173,0.9959,-0.551,1.876
10,0.0002439,-1.109e-07,-0.002335,1.469,0.000414,0.6387,0.9951,-0.5716,1.975
11,0.0002596,-1.301e-07,-0.002453,3.983,0.0007148,2.133,0.9346,-0.8554,0.2942
12,0.0002734,-1.45e-07,-0.001154,0.513,0.00194,7.942,0.9964,-0.4244,9.947
13,0.0002891,-1.66e-07,-0.000889,0.2754,-0.001986,7.023,0.999,-0.4004,0.8219
14,0.0001751,-7.528e-08,0.0381,98.43,-0.0005707,-0.1716,0.9995,-0.4109,10.76
15,0.0001929,-9.963e-08,0.03712,87.51,-0.0002431,-0.8754,0.8911,-1.241,-2.264
16,0.0002041,-1.164e-07,0.03362,74.63,0.0002384,-0.8782,0.8939,-1.228,1.302
17,0.0002136,-1.276e-07,0.03155,64.44,0.0002344,-0.9904,0.9057,-1.181,1.636
18,0.0002226,-7.221e-08,0.04052,91.46,0.0004061,-0.2184,0.999,-0.4153,7.299
19,0.0001916,-2.147e-07,0.04966,50.15,0.002803,17.22,0.998,-0.4577,8.447
20,0.0001935,-1.588e-07,0.03318,43.35,-0.0002428,-1.565,0.9078,-1.183,5.468
21,0.0002985,-1.152e-07,0.03727,67.18,0.001018,4.676,0.9735,-0.7184,4.303
22,0.0002494,-1.617e-07,0.03268,39.45,-0.0001136,-2.425,0.8876,-1.448,-0.5778
23,0.0002098,-1.46e-07,0.0328,31.89,-0.0001133,-2.865,0.7308,-2.082,-0.2984
24,0.000285,-1.841e-07,0.03129,38.03,-0.000492,1.98,0.7955,-1.637,0.4723
25,0.0002617,-1.806e-07,0.03229,31.92,-0.0004422,1.403,0.7347,-1.975,0.6128
26,0.0002662,-1.898e-07,0.03202,29.75,-0.0004369,1.363,0.7008,-2.157,0.8981
27,0.0002659,-1.926e-07,0.03203,27.68,-0.0004216,1.245,0.685,-2.253,1.07
28,0.00023,-1.786e-07,0.03185,23.44,-0.0002733,0.2695,0.6736,-2.394,0.712
29,0.0002932,-2.19e-07,0.03161,26.34,-0.0004634,1.464,0.685,-2.215,1.496
30,0.0001543,-1.5e-07,0.03586,19.45,-0.00055,-0.2227,0.9987,-0.509,-0.4903
31,0.0002639,-2.105e-07,0.02886,20.65,-0.0003007,0.7157,0.678,-2.297,1.62
32,0.0002855,-2.329e-07,0.03486,23.01,-0.002991,8.912,0.9955,-0.4896,5.965
